name,prompt,negative_prompt
None,"",
Human,"Disfigure Body, Disfigured Torso, Disfigured Face, Disfigured Eyes, Disfigured Pupils, Disfigured Arms, Disfigured Hands,Disfigured Fingers, Disfigured Legs, Disfigured Toes",
Image,"Ugly, Blurry, Text, Logo, Watermark, Signature, name artist, Frame",
