name,prompt,negative_prompt
None,"",
General,"photorealistic, professional, Skin details, RAW Photo, ultra detailed, RAW imagery, 8K, DSLR allure, meticulous detail, harmonious",
Portrait,"photorealistic, Skin details, Skin pores, skin blemished and small wrinkles, emotional",
