name,prompt,negative_prompt
None,"",
Asymmetry,"asymmetry",
Balance,"balance",
Converging lines,"converging lines",
Diagonal lines,"diagonal lines",
Emphasis,"emphasis",
Foreground interest,"foreground interest",
Golden ratio,"golden ratio",
Golden triangle,"golden triangle",
Negative space,"negative space",
Odd numbers,"odd numbers",
Patterns,"patterns",
Perspective,"perspective",
Radial balance,"radial balance",
Rule of thirds,"rule of thirds",
Simplicity,"simplicity",
